iter	Logloss
0	0.6899595319
1	0.6875088183
2	0.6849906268
3	0.6824789198
4	0.6805432535
5	0.6790220366
6	0.6774236736
7	0.6759240505
8	0.674535255
9	0.6734926339
10	0.6719325042
11	0.6704291455
12	0.6698655228
13	0.6687950411
14	0.6671497297
15	0.6668333248
16	0.6658926707
17	0.6648017237
18	0.66440248
19	0.6637249064
20	0.6632465811
21	0.6621701265
22	0.6610457909
23	0.6598553367
24	0.6589571738
25	0.6578413343
26	0.6567688676
27	0.6558761049
28	0.6552060668
29	0.6543516751
30	0.653782472
31	0.652539825
32	0.65187129
33	0.6509330345
34	0.6500091484
35	0.6487718406
36	0.6483947842
37	0.6474896337
38	0.646719119
39	0.6467190514
40	0.6459258893
41	0.6455646051
42	0.6447418705
43	0.6434409827
44	0.642975707
45	0.6425499411
46	0.6417540031
47	0.6409636328
48	0.6408446045
49	0.6403953865
50	0.6396632028
51	0.6394692966
52	0.6386096437
53	0.6381762259
54	0.6377144375
55	0.6372718634
56	0.637064842
57	0.6357237725
58	0.6354626893
59	0.6339033478
60	0.6333748264
61	0.6327808025
62	0.6325918675
63	0.6322694331
64	0.6317809275
65	0.6309016324
66	0.6305341585
67	0.6297599463
68	0.6295044087
69	0.6285782368
70	0.6280039207
71	0.627786705
72	0.626766213
73	0.6263489939
74	0.6259359892
75	0.625007298
76	0.6230255769
77	0.622712481
78	0.6226301032
79	0.6218128081
80	0.6209298657
81	0.6204579471
82	0.619465693
83	0.6186200316
84	0.6181676717
85	0.6177630292
86	0.6161843697
87	0.6159105285
88	0.6148634688
89	0.6134323319
90	0.6122536799
91	0.6112083714
92	0.611106192
93	0.6107706686
94	0.6096962103
95	0.6084866516
96	0.6077859219
97	0.6067947321
98	0.6050491412
99	0.6039362986
