iter	Passed	Remaining
0	27	2727
1	60	2953
2	112	3631
3	139	3353
4	172	3269
5	207	3248
6	244	3250
7	278	3198
8	313	3166
9	353	3183
10	391	3168
11	428	3143
12	466	3123
13	505	3105
14	538	3053
15	573	3012
16	608	2970
17	646	2947
18	685	2922
19	724	2898
20	762	2868
21	799	2836
22	837	2804
23	877	2779
24	921	2763
25	960	2733
26	1004	2717
27	1037	2667
28	1072	2625
29	1103	2575
30	1137	2532
31	1174	2496
32	1210	2457
33	1243	2414
34	1278	2373
35	1319	2346
36	1356	2310
37	1390	2268
38	1424	2227
39	1444	2167
40	1483	2134
41	1517	2095
42	1556	2063
43	1595	2031
44	1638	2002
45	1676	1968
46	1714	1933
47	1745	1890
48	1761	1833
49	1789	1789
50	1821	1749
51	1855	1712
52	1893	1679
53	1932	1645
54	1973	1614
55	2011	1580
56	2045	1543
57	2081	1507
58	2114	1469
59	2144	1429
60	2175	1390
61	2206	1352
62	2251	1322
63	2283	1284
64	2313	1245
65	2342	1206
66	2376	1170
67	2411	1134
68	2449	1100
69	2495	1069
70	2527	1032
71	2561	996
72	2600	961
73	2633	925
74	2661	887
75	2689	849
76	2718	811
77	2747	774
78	2770	736
79	2799	699
80	2830	663
81	2861	628
82	2892	592
83	2929	558
84	2968	523
85	3004	489
86	3043	454
87	3077	419
88	3110	384
89	3146	349
90	3180	314
91	3211	279
92	3240	243
93	3271	208
94	3303	173
95	3335	138
96	3363	104
97	3395	69
98	3425	34
99	3462	0
