iter	Logloss
0	0.6894770087
1	0.6861264646
2	0.683722486
3	0.6821990497
4	0.6802540226
5	0.6795309486
6	0.6778956412
7	0.6774476074
8	0.6769067297
9	0.6765444882
10	0.6762913981
11	0.6760372222
12	0.6749319443
13	0.6745591144
14	0.67450786
15	0.6737536298
16	0.673314561
17	0.6731238221
18	0.6729747078
19	0.6728269908
20	0.6726547241
21	0.6725527331
22	0.6720550415
23	0.6719581372
24	0.6718245149
25	0.6717340173
26	0.6716178982
27	0.6715732856
28	0.6714675228
29	0.6713535638
30	0.6712954849
31	0.6708200235
32	0.6707700906
33	0.6706644687
34	0.6706088439
35	0.6705939458
36	0.670514954
37	0.6702215105
38	0.6700565562
39	0.6699959668
40	0.669930099
41	0.6698417453
42	0.6697542189
43	0.6696750557
44	0.6695763695
45	0.6695046433
46	0.6694370772
47	0.669371675
48	0.6692048017
49	0.6691728018
50	0.6690706165
51	0.6690552071
52	0.6689450115
53	0.6688822069
54	0.6687890902
55	0.6687548807
56	0.6687049465
57	0.6685811993
58	0.6684825809
59	0.6684379616
60	0.6683716594
61	0.6683390707
62	0.6682545174
63	0.6682336968
64	0.6681765746
65	0.6679301277
66	0.667867988
67	0.6678093845
68	0.6677292773
69	0.6676785562
70	0.667436728
71	0.6673761369
72	0.6671279435
73	0.667090787
74	0.6670669426
75	0.6670238785
76	0.6669879217
77	0.6669870204
78	0.6669508862
79	0.6668858632
80	0.6668655988
81	0.666815442
82	0.6667681086
83	0.6667357312
84	0.6667315992
85	0.6666723334
86	0.666656938
87	0.6665534783
88	0.6665162259
89	0.666482562
90	0.6664770201
91	0.6664248753
92	0.6663545707
93	0.6662455563
94	0.6662280333
95	0.6661884646
96	0.6661746014
97	0.6661250634
98	0.6661149778
99	0.666045217
