iter	Passed	Remaining
0	66	6562
1	118	5820
2	182	5903
3	250	6002
4	317	6027
5	385	6039
6	482	6409
7	563	6485
8	629	6362
9	704	6336
10	780	6315
11	858	6296
12	926	6199
13	996	6119
14	1026	5819
15	1095	5752
16	1169	5709
17	1248	5689
18	1320	5631
19	1403	5613
20	1481	5572
21	1556	5519
22	1627	5448
23	1705	5401
24	1784	5353
25	1865	5310
26	1945	5259
27	2022	5199
28	2096	5131
29	2167	5056
30	2241	4989
31	2311	4912
32	2389	4851
33	2467	4789
34	2543	4722
35	2584	4594
36	2659	4528
37	2727	4449
38	2777	4344
39	2844	4267
40	2921	4203
41	2998	4141
42	3074	4075
43	3150	4010
44	3228	3945
45	3307	3882
46	3377	3808
47	3451	3739
48	3517	3661
49	3590	3590
50	3666	3522
51	3744	3456
52	3816	3384
53	3898	3320
54	3974	3252
55	4053	3184
56	4130	3115
57	4207	3046
58	4284	2977
59	4361	2907
60	4434	2835
61	4510	2764
62	4585	2692
63	4661	2621
64	4736	2550
65	4801	2473
66	4884	2405
67	4960	2334
68	5032	2260
69	5098	2185
70	5164	2109
71	5224	2031
72	5282	1953
73	5363	1884
74	5427	1809
75	5500	1737
76	5578	1666
77	5629	1587
78	5694	1513
79	5764	1441
80	5834	1368
81	5911	1297
82	5971	1223
83	6041	1150
84	6146	1084
85	6223	1013
86	6279	938
87	6314	861
88	6342	783
89	6371	707
90	6401	633
91	6433	559
92	6463	486
93	6491	414
94	6520	343
95	6550	272
96	6600	204
97	6632	135
98	6660	67
99	6688	0
